ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime,ttcLidar,kptMatches,ttcCamera
0,SHITOMASI,1723,11.9614,BRISK,17.5939
5,SHITOMASI,1806,12.0225,BRISK,18.4232,BF,KNN,238,79.5896,12.9259,30,13.6645
10,SHITOMASI,1874,12.0073,BRISK,19.1247,BF,KNN,243,82.903,14.0417,25,28.8838
15,SHITOMASI,1957,14.2206,BRISK,23.0566,BF,KNN,270,115.67,9.49192,19,12.7386
0,SHITOMASI,1723,12.1725,BRIEF,6.54839
5,SHITOMASI,1806,11.9114,BRIEF,6.54973,BF,KNN,367,38.5543,12.9259,40,13.8232
10,SHITOMASI,1874,15.0346,BRIEF,7.57226,BF,KNN,399,41.4412,14.0417,45,14.9768
15,SHITOMASI,1957,12.1491,BRIEF,7.2124,BF,KNN,415,41.797,9.49192,48,10.7417
0,SHITOMASI,1723,12.099,ORB,3.89036
5,SHITOMASI,1806,11.9314,ORB,3.65851,BF,KNN,322,36.7714,12.9259,30,15.5635
10,SHITOMASI,1874,12.1369,ORB,3.68258,BF,KNN,347,37.757,14.0417,30,14.5813
15,SHITOMASI,1957,11.9222,ORB,3.93453,BF,KNN,365,40.5525,9.49192,37,10.2309
0,SHITOMASI,1723,11.8139,FREAK,53.7321
5,SHITOMASI,1806,11.9077,FREAK,52.8302,BF,KNN,210,74.5654,12.9259,18,15.3424
10,SHITOMASI,1874,11.7725,FREAK,53.1846,BF,KNN,238,78.2396,14.0417,21,14.9768
15,SHITOMASI,1957,12.3594,FREAK,53.7272,BF,KNN,244,86.4952,9.49192,20,10.3909
0,SHITOMASI,1723,12.0506,SIFT,37.1688
5,SHITOMASI,1806,11.9599,SIFT,38.1173,BF,KNN,730,57.3856,12.9259,77,14.3849
10,SHITOMASI,1874,12.494,SIFT,38.775,BF,KNN,770,62.4638,14.0417,70,15.3578
15,SHITOMASI,1957,12.34,SIFT,40.3533,BF,KNN,843,65.6076,9.49192,71,11.8121
0,HARRIS,115,3.15724,BRISK,2.20946
